metricas	ficek	chen v1	chen v2	rio negro
n	34	34	34	34
chl_min	0.74	0.74	0.74	0.74
chl_mean	2.64	2.64	2.64	2.64
chl_median	2.95	2.95	2.95	2.95
chl_max	4.8	4.8	4.8	4.8
AEmean	2.48	3.2	1.35	0.81
AEmedian	2.61	3.31	1.49	0.81
REmean	1.4	1.75	0.83	0.38
REmedian	0.75	1.31	0.46	0.29
RMSE	2.77	3.4	1.57	0.91
RMSLE	0.43	0.44	0.31	0.17
mu	1.72	1.74	1.04	0.47
MAE	2.37	2.46	1.78	1.4
MAPE	0.75	1.31	0.46	0.29
Bias	1.51	2.46	1.24	1.1
Beta	0.65	1.31	0.21	0.18
MSB	0.51	1.46	0.24	0.1
Epsilon	1.56	1.31	0.78	0.37
MSA	1.37	1.46	0.78	0.4
DMC	0.57	1.21	0.16	0.04
DSD	0.73	0.08	-0.2	-0.07
Int.OLS	0.62	0.68	0.49	0.21
Int.OLS.Pvalue	0	0	0	0
Slope.OLS	-0.2	0.21	-0.08	0.54
Slope.OLS.Pvalue	0.33	0	0.5	0
R2.OLS	0	0.33	-0.02	0.52
Int.SMA	0.98	0.63	0.7	0.13
Slope.SMA	-1.18	0.36	-0.64	0.74
Int.TheilSen	0.64	0.67	0.49	0.22
Slope.TheilSen	0.06	0.2	0	0.54
