metricas	zhan	delegido	maciel v1	maciel v2	rio negro
n	32	32	32	32	32
chl_min	12.2	12.2	12.2	12.2	12.2
chl_mean	29.03	29.03	29.03	29.03	29.03
chl_median	26.5	26.5	26.5	26.5	26.5
chl_max	100	100	100	100	100
AEmean	23.8	22.15	21.87	15.54	4.57
AEmedian	21.64	20.97	19.71	11.16	2.76
REmean	0.81	0.74	0.75	0.55	0.16
REmedian	0.81	0.77	0.76	0.64	0.12
RMSE	28.6	26.52	25.93	19.07	7.28
RMSLE	0.72	0.64	0.61	0.43	0.09
mu	4.31	3.35	3.05	1.67	0.23
MAE	5.24	4.17	4	2.39	1.18
MAPE	0.81	0.77	0.76	0.64	0.12
Bias	0.19	0.24	0.25	0.47	0.97
Beta	-4.27	-3.39	-3.1	-1.75	-0.04
MSB	-4.24	-3.17	-3	-1.13	-0.03
Epsilon	4.27	3.39	3.1	1.75	0.13
MSA	4.24	3.17	3	1.39	0.18
DMC	-0.82	-0.76	-0.75	-0.42	-0.02
DSD	-0.86	-0.73	-0.73	-0.23	-0.02
Int.OLS	-0.25	0	-0.36	-0.55	-0.01
Int.OLS.Pvalue	0	0.99	0	0.12	0.94
Slope.OLS	0.67	0.56	0.83	1.16	1
Slope.OLS.Pvalue	0	0	0	0	0
R2.OLS	0.85	0.43	0.84	0.42	0.84
Int.SMA	-0.33	-0.39	-0.46	-1.39	-0.13
Slope.SMA	0.72	0.83	0.9	1.76	1.08
Int.TheilSen	-0.06	0.67	-0.17	-0.32	-0.09
Slope.TheilSen	0.52	0.05	0.68	0.91	1.06
